beds,bath,type,place,city,area_sqrt,price_bdt,price_per_sqft
3,4,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
2,2,Apartment,Mohammadpur,Dhaka,950.0,18000.0,18.94736842105263
2,2,Apartment,Motijheel,Dhaka,1100.0,22000.0,20.0
3,3,Apartment,Uttara,Dhaka,1200.0,45000.0,37.5
3,3,Apartment,Khulshi,Chittagong,1750.0,25000.0,14.285714285714286
3,3,Apartment,Khulshi,Chittagong,1350.0,23000.0,17.037037037037038
3,3,Apartment,Mirpur,Dhaka,1100.0,16000.0,14.545454545454545
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,1600.0,23000.0,14.375
3,3,Apartment,Gulshan,Dhaka,2600.0,100000.0,38.46153846153846
2,2,Apartment,Mohammadpur,Dhaka,750.0,16000.0,21.333333333333332
3,3,Apartment,Khulshi,Chittagong,2115.0,100000.0,47.28132387706856
4,4,Apartment,Uttara,Dhaka,3150.0,100000.0,31.746031746031747
2,2,Apartment,Mohammadpur,Dhaka,700.0,15000.0,21.428571428571427
3,3,Apartment,Mirpur,Dhaka,1350.0,25000.0,18.51851851851852
4,4,Apartment,Uttara,Dhaka,2100.0,60000.0,28.571428571428573
3,4,Apartment,Bashundhara R-A,Dhaka,1319.0,26000.0,19.711902956785444
3,3,Apartment,Uttara,Dhaka,1676.0,35000.0,20.883054892601432
3,3,Apartment,Maghbazar,Dhaka,1400.0,27000.0,19.285714285714285
3,3,Apartment,Uttara,Dhaka,1825.0,45000.0,24.65753424657534
5,3,Apartment,Uttara,Dhaka,3000.0,120000.0,40.0
5,3,Apartment,Uttara,Dhaka,3000.0,120000.0,40.0
3,3,Apartment,Mohammadpur,Dhaka,1250.0,15000.0,12.0
3,3,Apartment,Mohammadpur,Dhaka,1250.0,15000.0,12.0
3,3,Apartment,Maghbazar,Dhaka,1300.0,27000.0,20.76923076923077
3,3,Apartment,Kalabagan,Dhaka,1200.0,30000.0,25.0
3,2,Apartment,Dhanmondi,Dhaka,1250.0,30000.0,24.0
3,2,Apartment,Dhanmondi,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Baridhara,Dhaka,2300.0,75000.0,32.608695652173914
4,3,Apartment,Uttara,Dhaka,1500.0,40000.0,26.666666666666668
3,3,Apartment,Mohammadpur,Dhaka,1250.0,15000.0,12.0
3,3,Apartment,East Nasirabad,Chittagong,1500.0,20000.0,13.333333333333334
3,4,Apartment,Bashundhara R-A,Dhaka,2500.0,35000.0,14.0
2,1,Apartment,Mohammadpur,Dhaka,350.0,10000.0,28.571428571428573
3,4,Apartment,Uttara,Dhaka,2600.0,70000.0,26.923076923076923
2,2,Apartment,Mohammadpur,Dhaka,800.0,15500.0,19.375
3,3,Apartment,Cantonment,Dhaka,1200.0,15000.0,12.5
3,3,Apartment,Uttara,Dhaka,1350.0,55000.0,40.74074074074074
3,3,Apartment,Badda,Dhaka,1550.0,40000.0,25.806451612903224
2,1,Apartment,Khilkhet,Dhaka,600.0,11500.0,19.166666666666668
4,4,Apartment,Mohammadpur,Dhaka,1975.0,60000.0,30.379746835443036
3,2,Apartment,Rampura,Dhaka,1050.0,21000.0,20.0
3,3,Apartment,Mohammadpur,Dhaka,1500.0,21000.0,14.0
2,2,Apartment,Mohammadpur,Dhaka,900.0,20000.0,22.22222222222222
4,3,Apartment,Mohammadpur,Dhaka,1975.0,60000.0,30.379746835443036
3,4,Apartment,Mirpur,Dhaka,1350.0,22000.0,16.296296296296298
3,3,Apartment,Aftab Nagar,Dhaka,1300.0,21000.0,16.153846153846153
3,3,Apartment,Mohammadpur,Dhaka,1200.0,22000.0,18.333333333333332
2,1,Apartment,Dakshin Khan,Dhaka,450.0,7300.0,16.22222222222222
3,2,Apartment,Mohammadpur,Dhaka,1100.0,18000.0,16.363636363636363
1,1,Apartment,Mirpur,Dhaka,600.0,12000.0,20.0
3,4,Apartment,Banani,Dhaka,1800.0,75000.0,41.666666666666664
2,2,Apartment,Rampura,Dhaka,1190.0,40000.0,33.61344537815126
3,3,Apartment,Bashundhara R-A,Dhaka,1600.0,27000.0,16.875
2,2,Apartment,Hazaribag,Dhaka,950.0,16000.0,16.842105263157894
3,4,Apartment,Maghbazar,Dhaka,1800.0,50000.0,27.77777777777778
2,2,Apartment,Mirpur,Dhaka,750.0,16000.0,21.333333333333332
4,4,Apartment,Gulshan,Dhaka,3200.0,150000.0,46.875
4,5,Apartment,Mirpur,Dhaka,2300.0,50000.0,21.73913043478261
3,4,Apartment,Kazir Dewri,Chittagong,1700.0,28000.0,16.470588235294116
3,3,Apartment,Uttara,Dhaka,1400.0,30000.0,21.428571428571427
3,2,Apartment,Mirpur,Dhaka,950.0,20000.0,21.05263157894737
4,4,Apartment,Uttara,Dhaka,2230.0,36000.0,16.143497757847534
4,4,Apartment,Bashundhara R-A,Dhaka,2280.0,70000.0,30.70175438596491
3,4,Apartment,Uttara,Dhaka,2197.0,60000.0,27.309968138370504
3,3,Apartment,Mirpur,Dhaka,1600.0,32000.0,20.0
3,3,Apartment,9 No. North Pahartali Ward,Chittagong,1300.0,18000.0,13.846153846153847
3,3,Apartment,Khulshi,Chittagong,2000.0,35000.0,17.5
3,3,Apartment,Mirpur,Dhaka,1393.0,18000.0,12.921751615218952
3,3,Duplex,Uttara,Dhaka,1550.0,35000.0,22.580645161290324
